arch,with_index,crud,iter,elapsed_ms,rows
2-tier,False,INSERT,1,114.133,100
2-tier,False,SELECT,1,205566.852,200
2-tier,False,UPDATE,1,15.794,50
2-tier,False,DELETE,1,13.672,100
2-tier,False,INSERT,2,13.105,100
2-tier,False,SELECT,2,211982.437,200
2-tier,False,UPDATE,2,11.177,50
2-tier,False,DELETE,2,43.599,100
2-tier,False,INSERT,3,80.211,100
2-tier,False,SELECT,3,204480.276,200
2-tier,False,UPDATE,3,30.967,50
2-tier,False,DELETE,3,16.719,100
2-tier,True,INSERT,1,62.332,100
2-tier,True,SELECT,1,11.18,200
2-tier,True,UPDATE,1,10.04,50
2-tier,True,DELETE,1,5.923,100
2-tier,True,INSERT,2,4.44,100
2-tier,True,SELECT,2,3.988,200
2-tier,True,UPDATE,2,8.865,50
2-tier,True,DELETE,2,419.348,100
2-tier,True,INSERT,3,16.231,100
2-tier,True,SELECT,3,7.214,200
2-tier,True,UPDATE,3,4.277,50
2-tier,True,DELETE,3,7.4,100
