arch,with_index,pool,param_mode,crud,iter,elapsed_ms,rows
2-tier,False,ON,on,INSERT,1,369.989,"(361.97119999997085, 100)"
2-tier,False,ON,on,SELECT,1,225255.361,"(225237.69059999994, 200)"
2-tier,False,ON,on,UPDATE,1,47.894,"(47.28200000045035, 50)"
2-tier,False,ON,on,DELETE,1,18.556,"(15.075400000569061, 100)"
2-tier,False,ON,on,INSERT,2,177.154,"(174.7246000004452, 100)"
2-tier,False,ON,on,SELECT,2,206573.979,"(206573.76920000024, 200)"
2-tier,False,ON,on,UPDATE,2,5.845,"(5.652400000144553, 50)"
2-tier,False,ON,on,DELETE,2,7.688,"(6.347300000015821, 100)"
2-tier,False,ON,on,INSERT,3,23.89,"(22.205299999768613, 100)"
2-tier,False,ON,on,SELECT,3,200899.874,"(200899.62389999983, 200)"
2-tier,False,ON,on,UPDATE,3,326.874,"(326.65499999984604, 50)"
2-tier,False,ON,on,DELETE,3,28.774,"(10.661199999958626, 100)"
2-tier,True,OFF,off,INSERT,1,469.949,"(465.80309999990277, 100)"
2-tier,True,OFF,off,SELECT,1,10.313,"(10.181999999986147, 200)"
2-tier,True,OFF,off,UPDATE,1,8.659,"(8.434700000179873, 50)"
2-tier,True,OFF,off,DELETE,1,9.053,"(7.609999999658612, 100)"
2-tier,True,OFF,off,INSERT,2,27.909,"(26.456900000084715, 100)"
2-tier,True,OFF,off,SELECT,2,2.692,"(2.5556000000506174, 200)"
2-tier,True,OFF,off,UPDATE,2,2.963,"(2.749000000221713, 50)"
2-tier,True,OFF,off,DELETE,2,8.011,"(6.327199999759614, 100)"
2-tier,True,OFF,off,INSERT,3,113.261,"(109.42640000030224, 100)"
2-tier,True,OFF,off,SELECT,3,7.551,"(7.439299999532523, 200)"
2-tier,True,OFF,off,UPDATE,3,24.624,"(24.150100000042585, 50)"
2-tier,True,OFF,off,DELETE,3,486.121,"(471.15969999958907, 100)"
